N° Exp.,Fecha,Estado,Modelo,Matrícula,Daños,Fase,Lat - Lon,Lesiones,Fecha y hora de notificiacion,fecha y hora de arribo,fecha y hora de finalizacion,Provincia,Lugar,tipo Lugar,altura,Oficina,Canal,Fabricante
2364029,6/2/2005,en curso,AB-180 (Aero Boero),LV-ATN,De importancia,Rodaje salida,"(-36.316944444444445, -57.71666666666667)",Ninguno,S/D,S/D,S/D,BUENOS AIRES (BUE),Dolores,AD,S/D,S/D,S/D,Aero Boero
2364031,3/2/2005,en curso,620-B (Weatherly),LV-AXX,De importancia,Aterrizaje,"(-32.68333333333333, -62.15277777777778)",Ninguno,S/D,S/D,S/D,SALTA (SAL),"Quebracho Colorado, Tolloche",EA,S/D,S/D,S/D,Weatherly
2364026,25/1/2005,en curso,C-185-B (Cessna),LV-ASN,Leves,Crucero,"(-31.683333333333334, -63.2)",Ninguno,S/D,S/D,S/D,CORDOBA (CBA),5 Km al SW de Calchín,ZR,S/D,S/D,S/D,Cessna
2364025,23/1/2005,en curso,TWINSTAR (Flightstar),LV-U114,De importancia,Crucero,"(-34.666666666666664, -59.03333333333333)",Ninguno,S/D,S/D,S/D,BUENOS AIRES (BUE),Ruta 6 Próximo al AD Gral Rodríguez,AD,S/D,S/D,S/D,Flightstar
2364023,22/1/2005,en curso,ARAVA-102 (Iai),LV-MHP,Leves,Rodaje a plataforma,"(-29.389166666666664, -66.66916666666667)",Ninguno,S/D,S/D,S/D,LA RIOJA (LRA),La Rioja,AP,S/D,S/D,S/D,Iai
2364022,21/1/2005,en curso,S2R-G6 (Ayres),LV-WRX,Leves,Crucero,"(-36.61666666666667, -61.75)",Ninguno,S/D,S/D,S/D,BUENOS AIRES (BUE),Daireaux,LOC,S/D,S/D,S/D,Ayres
2364021,18/1/2005,en curso,AT-401-B (Air Tractor),LV-WLI,Destruida,Crucero,"(-26.45, -60.88333333333333)",Ninguno,S/D,S/D,S/D,CHACO (CHA),20 Km al N de Concepción del Bermejo,ZR,S/D,S/D,S/D,Air Tractor
2364024,18/1/2005,en curso,PA-11 (Piper),LV-YMF,De importancia,Aterrizaje,"(-30.3, -59.916666666666664)",Ninguno,S/D,S/D,S/D,SANTA FE (SFE),20 Km. al N de San Javier,ZR,S/D,S/D,S/D,Piper
2364017,9/1/2005,en curso,AT-502-B (Air Tractor),LV-ZZM,Leves,Crucero,"(-33.96666666666667, -61.083333333333336)",Ninguno,S/D,S/D,S/D,BUENOS AIRES (BUE),Colón,LOC,S/D,S/D,S/D,Air Tractor
2364020,3/1/2005,en curso,MARK-20 (Mooney),LV-FSG,De importancia,Aterrizaje,"(-24.833333333333332, -65.43333333333334)",Ninguno,S/D,S/D,S/D,SALTA (SAL),General Belgrano,AD,S/D,S/D,S/D,Mooney
2364012,1/1/2005,en curso,C-182 (Cessna),LV-IBW,Destruida,Crucero,"(-35.68472222222222, -63.75111111111111)",Fatales,S/D,S/D,S/D,LA PAMPA (LPA),General Pico,ZR,S/D,S/D,S/D,Cessna
2364014,20/12/2004,en curso,AB-180-RVR (Aero Boero),LV-ATL,Destruida,Aproximación,"(-35.86666666666667, -64.33333333333333)",Leves,S/D,S/D,S/D,LA PAMPA (LPA),Monte Nievas,ZR,S/D,S/D,S/D,Aero Boero
2364008,17/12/2004,en curso,J-3C (Piper),LV-NFX,Leves,Aterrizaje,"(-30.745833333333334, -59.99277777777778)",Ninguno,S/D,S/D,S/D,SANTA FE (SFE),Colonia Marcias,LOC,S/D,S/D,S/D,Piper
2364006,11/12/2004,en curso,MD-11 (Mc Donnell Douglas),PP-VTH,Leves,Aterrizaje,"(-34.81666666666667, -58.53333333333333)",Ninguno,S/D,S/D,S/D,BUENOS AIRES (BUE),Ministro Pistarini -Ezeiza (SAEZ),AP,S/D,S/D,S/D,Mc Donnell Douglas
2364002,30/11/2004,en curso,V-35-B (Beechcraft),LV-LRB,Leves,Rodaje salida,"(-32.68333333333333, -62.15277777777778)",Ninguno,S/D,S/D,S/D,CORDOBA (CBA),Marcos Juarez,AD,S/D,S/D,S/D,Beechcraft
2363997,14/11/2004,en curso,B-737-253 (Boeing),YV-216C,Leves,Crucero,"(-27.450277777777778, -59.05)",Ninguno,S/D,S/D,S/D,CHACO (CHA),Resistencia (SARE),AP,S/D,S/D,S/D,Boeing
2363999,12/11/2004,en curso,IAe 20 (EL BOYERO) (Fma),LV-YXE,De importancia,Aterrizaje,"(-27.5, -58.81666666666667)",Ninguno,S/D,S/D,S/D,CORRIENTES (CRR),Corrientes / Zona Urbana,LOC,S/D,S/D,S/D,EL BOYERO
2363993,1/11/2004,en curso,DG-200 (Glaser Dirks),LV-DNF,Leves,Despegue,"(-34.11611111111111, -59.08388888888889)",Ninguno,S/D,S/D,S/D,BUENOS AIRES (BUE),Zárate,AD,S/D,S/D,S/D,Glaser Dirks
2363989,30/10/2004,en curso,C-336 (Cessna),LV-IHR,De importancia,Aproximación,"(-35.53333333333333, -58.05)",Ninguno,S/D,S/D,S/D,BUENOS AIRES (BUE),Próximo AD Chascomús,ZR,S/D,S/D,S/D,Cessna
2363986,28/10/2004,en curso,C-337-G (Cessna),LV-WHH,Leves,Aterrizaje,"(-34.45, -58.583333333333336)",Ninguno,S/D,S/D,S/D,BUENOS AIRES (BUE),San Fernando,AP,S/D,S/D,S/D,Cessna
2363982,16/10/2004,en curso,PA-12 (Piper),LV-YHP,De importancia,Despegue,"(-45.566944444444445, -69.06666666666666)",Leves,S/D,S/D,S/D,CHUBUT (CHU),Lago Musters,AD,S/D,S/D,S/D,Piper
2363981,15/10/2004,en curso,PA-A-34-200-T (Piper),LV-MPO,De importancia,Aterrizaje,"(-34.65416666666667, -58.64388888888889)",Ninguno,S/D,S/D,S/D,BUENOS AIRES (BUE),Morón,AP,S/D,S/D,S/D,Piper
2363980,10/10/2004,en curso,IAe 46 SUPER RANQUEL (Dinfia),LV-GZR,Ninguno,Aproximación,"(-33.92027777777778, -60.64944444444444)",Ninguno,S/D,S/D,S/D,BUENOS AIRES (BUE),Pergamino,AD,S/D,S/D,S/D,Dinfia
2363978,6/10/2004,en curso,B-35 (Beechcraft),LV-NVV,De importancia,Aterrizaje,"(None, None)",Ninguno,S/D,S/D,S/D,SANTIAGO DEL ESTERO (SDE),Santiago del Estero,AD,S/D,S/D,S/D,Beechcraft
2363987,6/10/2004,en curso,B-727-200 (Boeing),CP-1367,Leves,Rodaje a plataforma,"(-34.81666666666667, -58.55)",Ninguno,S/D,S/D,S/D,BUENOS AIRES (BUE),Ministro Pistarini -Ezeiza (SAEZ),AP,S/D,S/D,S/D,Boeing
2363977,6/10/2004,en curso,BC-12-DB (Taylorcraft),LV-RFH,De importancia,Crucero,"(-31.482777777777777, -64.15083333333334)",Leves,S/D,S/D,S/D,FORMOSA (FOR),Las Delicias,EA,S/D,S/D,S/D,Taylorcraft
2363976,5/10/2004,en curso,H-269-C (Hughes),LV-ZZL,De importancia,Estacionado,"(-34.49722222222222, -58.60777777777778)",Ninguno,S/D,S/D,S/D,BUENOS AIRES (BUE),Don Torcuato,AD,S/D,S/D,S/D,Hughes
2363975,3/10/2004,en curso,PA-A-38-112 (Piper),LV-OFE,Destruida,Ascenso,"(-38.96638888888889, -67.78444444444445)",Fatales,S/D,S/D,S/D,RIO NEGRO (RNG),Allen,AD,S/D,S/D,S/D,Piper
2363974,30/9/2004,en curso,PA-11-C (Piper),LV-XUG,De importancia,Maniobras,"(None, None)",Ninguno,S/D,S/D,S/D,SALTA (SAL),"Finca Los Colorados, Las Lajitas",ZR,S/D,S/D,S/D,Piper
2363973,29/9/2004,en curso,PA-38-112 (Piper),LV-OML,Leves,Aterrizaje,"(-35.0, -63.0)",Ninguno,S/D,S/D,S/D,BUENOS AIRES (BUE),General Villegas,AD,S/D,S/D,S/D,Piper
2363959,28/9/2004,en curso,8-E (Luscombe),LV-RTS,Leves,Aterrizaje,"(None, None)",Ninguno,S/D,S/D,S/D,CORDOBA (CBA),Marcos Juarez,AD,S/D,S/D,S/D,Luscombe
2363969,18/9/2004,en curso,C-172-RG (Cessna),LV-ALZ,De importancia,Aterrizaje,"(-37.9, -58.333333333333336)",Ninguno,S/D,S/D,S/D,BUENOS AIRES (BUE),Pista de Establecimiento La Vigilancia Vieja- Proximidades de Balcarce.,LAD,S/D,S/D,S/D,Cessna
2363963,8/9/2004,en curso,C-310-P (Cessna),LV-JNW,De importancia,Aterrizaje,"(-34.49777777777778, -58.605555555555554)",Ninguno,S/D,S/D,S/D,BUENOS AIRES (BUE),Don Torcuato,AD,S/D,S/D,S/D,Cessna
2363962,6/9/2004,en curso,NAV-4 (Navion),LV-RHY,Leves,Rodaje salida,"(-33.233333333333334, -68.46666666666667)",Ninguno,S/D,S/D,S/D,MENDOZA (DOZ),Pista Aerotec (Rivadavia),AD,S/D,S/D,S/D,Navion
2363960,4/9/2004,en curso,PA-12 (Piper),LV-RRO,Leves,Rodaje salida,"(-34.455000000000005, -58.59138888888889)",Ninguno,S/D,S/D,S/D,BUENOS AIRES (BUE),San Fernando,AP,S/D,S/D,S/D,Piper
2363948,7/7/2004,en curso,B-95 (Beechcraft),LV-HJS,Leves,Aterrizaje,"(-34.55888888888889, -58.41638888888889)",Ninguno,S/D,S/D,S/D,BUENOS AIRES (BUE),Aeroparque Jorge Newbery (SABE),AP,S/D,S/D,S/D,Beechcraft
2363944,9/6/2004,en curso,PA-38 (Piper),LV-OJR,De importancia,Aterrizaje,"(-34.68333333333333, -58.68333333333333)",Ninguno,S/D,S/D,S/D,BUENOS AIRES (BUE),Tigre,LOC,S/D,S/D,S/D,Piper
2363937,7/6/2004,en curso,BIPLAZA,LV-UX067,De importancia,Maniobras,"(None, None)",Fatales,S/D,S/D,S/D,SANTA FE (SFE),Venado Tuerto,ZR,S/D,S/D,S/D,Sin Info
2363917,17/5/2004,en curso,T-210-J (Cessna),LV-JPB,Destruida,Crucero,"(-25.8, -64.96666666666667)",Fatales,S/D,S/D,S/D,SALTA (SAL),"Ovando Río Grande, 30 km al WSW de Rosario de la Frontera",EA,S/D,S/D,S/D,Cessna
2363916,6/5/2004,en curso,PA-22-150 (Piper),HK-881P,Leves,Crucero,"(-39.2175, -69.29138888888889)",Ninguno,S/D,S/D,S/D,NEUQUEN (NEU),60 NM al SW del AD Neuquén,ZR,S/D,S/D,S/D,Piper
2363914,28/4/2004,en curso,PA-32-300 (Piper),LV-JJD,De importancia,Crucero,"(None, None)",Ninguno,S/D,S/D,S/D,SANTA FE (SFE),San Cristobal,ZR,S/D,S/D,S/D,Piper
2363912,27/4/2004,en curso,B-95-C55 (Beechcraft),LV-MSL,De importancia,Aterrizaje,"(-31.46611111111111, -60.83388888888889)",Ninguno,S/D,S/D,S/D,SANTA FE (SFE),Esperanza,AD,S/D,S/D,S/D,Beechcraft
2363913,21/4/2004,en curso,PA-38-112 (Piper),LV-OAD,De importancia,Aterrizaje,"(-53.93888888888888, -68.50555555555556)",Ninguno,S/D,S/D,S/D,"TIERRA DEL FUEGO, ANTÁRTIDA E ISLAS DEL ATLÁNTICO SUR (TDF)",Ea. San José - Río Grande,ZR,S/D,S/D,S/D,Piper
2363909,19/4/2004,en curso,B-58 (Beechcraft),LV-WMZ,De importancia,Aterrizaje,"(-37.55833333333333, -70.82249999999999)",Ninguno,S/D,S/D,S/D,NEUQUEN (NEU),Ea. Ranquilco - Chos Malal,ZR,S/D,S/D,S/D,Beechcraft
2363908,18/4/2004,en curso,8-E (Luscombe),LV-NZQ,De importancia,Aterrizaje,"(None, None)",Ninguno,S/D,S/D,S/D,BUENOS AIRES (BUE),Pergamino,AD,S/D,S/D,S/D,Luscombe
2363907,14/4/2004,en curso,PA-A-25-235 (Piper),LV-MTE,Destruida,Despegue,"(None, None)",Leves,S/D,S/D,S/D,SANTIAGO DEL ESTERO (SDE),Weisburd,LOC,S/D,S/D,S/D,Piper
2363900,30/3/2004,en curso,PA-23-250 (Piper),LV-JTM,Destruida,Aproximación,"(-41.151111111111106, -71.15777777777778)",Fatales,S/D,S/D,S/D,RIO NEGRO (RNG),Bariloche,AD,S/D,S/D,S/D,Piper
2363899,28/3/2004,en curso,UH-12-E4 (Hiller),LV-MYJ,De importancia,Aproximación,"(-46.670833333333334, -70.29444444444444)",Graves,S/D,S/D,S/D,SANTA CRUZ (SCZ),32 km S Paraje El Pluma,ZR,S/D,S/D,S/D,Hiller
2363903,28/3/2004,en curso,PA-18 (Piper),LV-JIC,Destruida,Aproximación,"(-34.71666666666667, -59.3)",Fatales,S/D,S/D,S/D,BUENOS AIRES (BUE),"Mercedes, La Verde.",ZR,S/D,S/D,S/D,Piper
2363895,23/3/2004,en curso,C-188 (Cessna),LV-ZNX,Destruida,Maniobras,"(None, None)",Leves,S/D,S/D,S/D,CHACO (CHA),Pampa Gallo,LOC,S/D,S/D,S/D,Cessna
2363894,19/3/2004,en curso,AT-502-B (Air Tractor),LV-WPT,De importancia,Despegue,"(None, None)",Ninguno,S/D,S/D,S/D,SANTIAGO DEL ESTERO (SDE),Selva,LOC,S/D,S/D,S/D,Air Tractor
2363891,19/3/2004,en curso,C-152 (Cessna),LV-AMS,De importancia,Crucero,"(None, None)",Ninguno,S/D,S/D,S/D,BUENOS AIRES (BUE),General Conesa,LOC,S/D,S/D,S/D,Cessna
2363890,18/3/2004,en curso,C-182-F (Cessna),LV-IHD,De importancia,Aterrizaje,"(None, None)",Ninguno,S/D,S/D,S/D,BUENOS AIRES (BUE),Tortuguitas,LOC,S/D,S/D,S/D,Cessna
2363886,5/3/2004,en curso,7GCBC (Bellanca),LV-OEG,Destruida,Maniobras,"(None, None)",Fatales,S/D,S/D,S/D,CORDOBA (CBA),Adelia María,LOC,S/D,S/D,S/D,Bellanca
